Type,Location,Bath,Bedrooms,Precinct,Total Area,Total Price
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15600000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,19500000
1,"Bahria Town, Karachi",4,4,Sports City,350,23500000
2,"Bahria Town, Karachi",2,2,Precinct 11-A,119,11600000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,10000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,14000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,14000000
2,"Bahria Town, Karachi",3,2,Precinct 19,106,7700000
1,"Bahria Town, Karachi",3,3,Precinct 1,272,42500000
1,"Bahria Town, Karachi",4,3,Precinct 31,235,15100000
2,"Bahria Town, Karachi",3,3,Bahria Town,144,13000000
1,"Bahria Town, Karachi",5,5,Precinct 51,500,41500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,20000000
1,"Bahria Town, Karachi",5,5,Precinct 50,500,55000000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8500000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,10000000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,10000000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,8000000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17000000
1,"Bahria Town, Karachi",4,4,Sports City,350,26500000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,20500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,18500000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,21000000
1,"Bahria Town, Karachi",4,4,Bahria Town,272,23000000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,24500000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,7500000
2,"Bahria Town, Karachi",2,2,Precinct 10-A,89,3500000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,20000000
1,"Bahria Town, Karachi",4,4,Precinct 35,350,23000000
1,"Bahria Town, Karachi",6,5,Bahria Paradise,500,40000000
1,"Bahria Town, Karachi",6,5,Precinct 1,250,37000000
2,"Bahria Town, Karachi",2,2,Bahria Town,91,8200000
1,"Bahria Town, Karachi",4,4,Sports City,350,22500000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,19000000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,17600000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,15500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,19500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,18500000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,26000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,22000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,22000000
1,"Bahria Town, Karachi",4,4,Sports City,350,27000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,19000000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17500000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,16500000
1,"Bahria Town, Karachi",5,5,Precinct 8,250,21000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,15500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,14500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,13500000
2,"Bahria Town, Karachi",1,1,Precinct 6,67,4848000
2,"Bahria Town, Karachi",2,2,Precinct 6,97,6980000
1,"Bahria Town, Karachi",6,5,Precinct 8,404,48500000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,4700000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15500000
1,"Bahria Town, Karachi",4,4,Sports City,350,21500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,7500000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,9500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,20000000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,21000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,22500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,22500000
1,"Bahria Town, Karachi",5,5,Sports City,500,49000000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,27000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,18500000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17000000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,12500000
1,"Bahria Town, Karachi",4,4,Precinct 27,125,10500000
1,"Bahria Town, Karachi",7,7,Precinct 4,500,41500000
1,"Bahria Town, Karachi",5,5,Bahria Paradise,500,33500000
2,"Bahria Town, Karachi",2,2,Bahria Town,110,10000000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,9900000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,14400000
1,"Bahria Town, Karachi",4,4,Sports City,350,21500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,17000000
2,"Bahria Town, Karachi",3,2,Precinct 19,106,8000000
2,"Bahria Town, Karachi",2,2,Bahria Town,136,12900000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,14600000
1,"Bahria Town, Karachi",4,4,Sports City,350,26500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,18500000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,20500000
